zincid;molecular_formula;binding_energy;charge;2D;binding_energy AD4;standard deviation
ZINC000064769157;C24HN5O3S;-10,4;0;img/ZINC000064769157.jpg;-5,08;0,16
ZINC001192597227;C16H2N6O7PS;-10,4;-1;img/ZINC001192597227.jpg;-3,48;0,23
ZINC001191116024;C16H3N7O7P;-10,2;-1;img/ZINC001191116024.jpg;-4,27;0,17
ZINC000534521936;C19H3F3N7O;-10,3;0;img/ZINC000534521936.jpg;-5,35;0,21
ZINC000073294117;C23H2F3N7O4;-10,7;0;img/ZINC000073294117.jpg;-5,41;0,18
ZINC001193708066;C18H3N7O8P;-10,3;-1;img/ZINC001193708066.jpg;-3,58;0,18
ZINC000009761254;C22HF3N6O5;-10,4;0;img/ZINC000009761254.jpg;-4,62;0,15
ZINC000488878990;C20HN8O3;-10,1;0;img/ZINC000488878990.jpg;-3,9;0,11
ZINC001164776035;C22HCLF2N6O;-10,2;0;img/ZINC001164776035.jpg;-6,4;0,17
ZINC000004164050;C24H2FN5O5;-10,3;0;img/ZINC000004164050.jpg;-5,7;0,18
ZINC000029172795;C20HFN6O3;-10,7;0;img/ZINC000029172795.jpg;-4,67;0,07
ZINC001245547992;C18HN6O;-10,4;0;img/ZINC001245547992.jpg;-5,71;0,01
ZINC001188135820;C18H2N6O7P;-10,5;-1;img/ZINC001188135820.jpg;-3,99;0,09
ZINC000499310461;C21HFN6O4;-10,7;0;img/ZINC000499310461.jpg;-4,86;0,21
ZINC000150346029;C39H4N5O8;-10,6;0;img/ZINC000150346029.jpg;-4,65;0,62
ZINC000785037642;C16HN6O6S;-10,3;0;img/ZINC000785037642.jpg;-2,93;0,09
ZINC000029057445;C19H2N6O6;-11,3;0;img/ZINC000029057445.jpg;-7,74;0,07
ZINC000084688606;C32H3CLN5O2;-10,6;0;img/ZINC000084688606.jpg;-7,49;0,13
ZINC000072404068;C24H2N8O3;-11,1;0;img/ZINC000072404068.jpg;-6,47;0,04
ZINC000257256231;C28HN7O6;-10,1;0;img/ZINC000257256231.jpg;-5,6;0,15
ZINC000013678679;C20H4CLN6O3S;-10,1;0;img/ZINC000013678679.jpg;-5,28;0,16
ZINC000004825185;C22H9N8O5;-10,5;1;img/ZINC000004825185.jpg;-3,32;0,22
ZINC001256108229;C17H3N5O2;-10,1;-1;img/ZINC001256108229.jpg;-6,06;0,06
ZINC001142385833;C17HN6O5;-10,1;0;img/ZINC001142385833.jpg;-4,47;0,03
ZINC000042851186;C25H6N9O7;-10,7;0;img/ZINC000042851186.jpg;-3,27;0,33
ZINC000350473195;C16H3N9O3;-10,7;0;img/ZINC000350473195.jpg;-6,41;0,23
ZINC000028455704;C21H6N11O6;-10,4;0;img/ZINC000028455704.jpg;-4,82;0,46
ZINC000102861709;C17HN6O5;-10,6;0;img/ZINC000102861709.jpg;-4,63;0,13
ZINC001190907962;C16H3CLN6O8P;-10,8;-1;img/ZINC001190907962.jpg;-3,15;0,1
ZINC000056896001;C26HCLN6O3;-10,3;0;img/ZINC000056896001.jpg;-5,91;0,43
ZINC000048998158;C24H4CL2N5O4;-10,4;0;img/ZINC000048998158.jpg;-5,52;0,36
ZINC000013780799;C20H4CL2N6O5;-10,5;0;img/ZINC000013780799.jpg;-5,06;0,19
ZINC000914665648;C20HN6O7S;-10,6;0;img/ZINC000914665648.jpg;-2,66;0,19
ZINC000518940073;C17H2N9O3;-10,6;0;img/ZINC000518940073.jpg;-5,44;0,14
ZINC001167190478;C19HF3N5O;-10,4;0;img/ZINC001167190478.jpg;-5,6;0,01
ZINC000006936530;C23HN6O2;-10,2;0;img/ZINC000006936530.jpg;-6,2;0,11
ZINC000012405742;C26H4N7O4;-11;0;img/ZINC000012405742.jpg;-4,69;0,52
ZINC000072405138;C23H2FN9O;-11,9;0;img/ZINC000072405138.jpg;-5,78;0,17
ZINC000919462640;C19H3N7O5;-10,5;0;img/ZINC000919462640.jpg;-3,59;0,09
ZINC001195389195;C18H3N6O7PS;-10,5;-1;img/ZINC001195389195.jpg;-3,41;0,15
